formula_id,source,vocab_version,token_ids,token_names,token_len,horizon,valid,invalid_reason,reward,finite_count,coverage,finite_std,scorer_days,scorer_mean_return,scorer_median_return,scorer_hit_rate,scorer_ann_return_proxy,avg_top_k,formula
random_000154,random,phase3a-v1,4 2 7 7 12 18 24 19 14 11 8 12 9,volume low CONST_1 CONST_1 NEG MA5 DECAY MA10 SIGN DIV ADD NEG SUB,13,10,True,,0.005025867949172062,43347,0.9993083892385366,7479174.839396245,2337.0,0.005025867949172062,0.0009220867010808209,0.5117672229353872,0.12665187231913597,3.501925545571245,random_000154
random_000155,random,phase3a-v1,2 0 12 22 16 8,low open NEG RET5 DELAY5 ADD,6,10,True,,0.0013716314067411999,43203,0.995988657583512,1.4598644544216024,2337.0,0.0013716314067411999,0.0025005827639323075,0.5293110825845101,0.03456511144987824,3.501925545571245,random_000155
random_000156,random,phase3a-v1,7 1 16 16 11 16 12 14 17 24 5 8,CONST_1 high DELAY5 DELAY5 DIV DELAY5 NEG SIGN DELAY10 DECAY amount ADD,12,10,True,,0.00575040136617983,42912,0.9892800331973165,1462488346.6443446,2337.0,0.00575040136617983,0.001820195126561101,0.5220367993153616,0.14491011442773172,3.501925545571245,random_000156
random_000157,random,phase3a-v1,6 7 21 19 22 21 14 13 10,CONST_0 CONST_1 STD10 MA10 RET5 STD10 SIGN ABS MUL,9,10,False,non_finite_result,-5.0,0,0.0,,,,,,,,
random_000158,random,phase3a-v1,6 18 24 14 4 9,CONST_0 MA5 DECAY SIGN volume SUB,6,10,True,,0.0034635973270543802,43365,0.9997233556954146,7478274.6049348395,2337.0,0.0034635973270543802,0.005229561014901324,0.5588361146769363,0.08728265264177039,3.501925545571245,random_000158
random_000159,random,phase3a-v1,5 23 0 16 9,amount RET10 open DELAY5 SUB,5,10,True,,0.005315331822885299,43198,0.9958733891232681,3.6326804525373575,2337.0,0.005315331822885299,0.0013616282097530148,0.5173299101412067,0.13394636193670956,3.501925545571245,random_000159
random_000160,random,phase3a-v1,2 7 21 11,low CONST_1 STD10 DIV,4,10,False,non_finite_result,-5.0,0,0.0,,,,,,,,
random_000161,random,phase3a-v1,0 17 6 24 1 8 18 10,open DELAY10 CONST_0 DECAY high ADD MA5 MUL,8,10,True,,0.0014353894273363423,43197,0.9958503354312193,10.538419231734927,2337.0,0.0014353894273363423,0.0024615858479867525,0.527599486521181,0.036171813568875825,3.501925545571245,random_000161
random_000162,random,phase3a-v1,7 19 22 12 24 14 14 23 15,CONST_1 MA10 RET5 NEG DECAY SIGN SIGN RET10 DELAY1,9,10,False,non_finite_result,-5.0,0,0.0,,,,,,,,
random_000163,random,phase3a-v1,5 1 23 10,amount high RET10 MUL,4,10,True,,0.005196162442360854,43205,0.9960347649676096,325669680.4401094,2337.0,0.005196162442360854,0.0020098647291629523,0.5233204963628584,0.1309432935474935,3.501925545571245,random_000163
random_000164,random,phase3a-v1,2 2 12 7 15 21 4 22 22 9 11 11,low low NEG CONST_1 DELAY1 STD10 volume RET5 RET5 SUB DIV DIV,12,10,True,,0.003857665070389024,43192,0.9957350669709754,131.7417356276114,2337.0,0.003857665070389024,0.0026618930423941978,0.5284552845528455,0.0972131597738034,3.501925545571245,random_000164
random_000165,random,phase3a-v1,5 20 1 20 14 20 9,amount MA20 high MA20 SIGN MA20 SUB,7,10,True,,0.005350231304263737,42655,0.9833552343407796,1254180481.6111276,2337.0,0.005350231304263737,0.001875100244271094,0.5241762943945228,0.13482582886744615,3.501925545571245,random_000165
random_000166,random,phase3a-v1,7 3 18 9 0 8,CONST_1 close MA5 SUB open ADD,6,10,True,,0.004320795217073036,43301,0.9982479194042926,0.047609772220556706,2337.0,0.004320795217073036,0.00311875107991616,0.5340179717586649,0.10888403947024053,3.501925545571245,random_000166
random_000167,random,phase3a-v1,6 12 12 16 17 18,CONST_0 NEG NEG DELAY5 DELAY10 MA5,6,10,False,constant_signal,-2.0,43339,0.9991239597021463,0.0,,,,,,,
random_000168,random,phase3a-v1,2 20 16 15 12 17 5 14 9,low MA20 DELAY5 DELAY1 NEG DELAY10 amount SIGN SUB,9,10,True,,0.004590586463336138,42742,0.9853609055490237,1.4438867858836935,2337.0,0.004590586463336138,0.0008212652516342289,0.5104835258878905,0.11568277887607067,3.501925545571245,random_000168
random_000169,random,phase3a-v1,4 23 2 22 20 5 18 8 11 4 9,volume RET10 low RET5 MA20 amount MA5 ADD DIV volume SUB,11,10,True,,0.0036137667113038036,42917,0.9893953016575605,7502751.615818349,2337.0,0.0036137667113038036,0.005539839855877554,0.560119811724433,0.09106692112485584,3.501925545571245,random_000169
random_000170,random,phase3a-v1,3 22 13 2 10,close RET5 ABS low MUL,5,10,True,,0.002671189633355155,43290,0.997994328791756,0.22799304170001006,2337.0,0.002671189633355155,0.002858740530723954,0.5271715875053488,0.0673139787605499,3.501925545571245,random_000170
random_000171,random,phase3a-v1,5 15 6 7 4 9 9 16 10,amount DELAY1 CONST_0 CONST_1 volume SUB SUB DELAY5 MUL,9,10,True,,0.005692546542614791,43288,0.9979482214076585,5.351971433722353e+16,2337.0,0.005692546542614791,0.0012546786658078068,0.5169020111253744,0.14345217287389272,3.501925545571245,random_000171
random_000172,random,phase3a-v1,1 24 20 5 16 13 17 15 11 2 10,high DECAY MA20 amount DELAY5 ABS DELAY10 DELAY1 DIV low MUL,11,10,True,,0.0024570255589010563,42974,0.990709362104341,1.2833856921426356e-05,2337.0,0.0024570255589010563,0.005120518181503275,0.5566966195977749,0.061917044084306615,3.501925545571245,random_000172
random_000173,random,phase3a-v1,2 24 19 15,low DECAY MA10 DELAY1,4,10,True,,0.0013498691326973829,43149,0.9947437582128777,1.4509359204515024,2337.0,0.0013498691326973829,0.0024553314427635253,0.5293110825845101,0.03401670214397405,3.501925545571245,random_000173
random_000174,random,phase3a-v1,6 1 11 17 13 18 7 10 20,CONST_0 high DIV DELAY10 ABS MA5 CONST_1 MUL MA20,9,10,False,constant_signal,-2.0,42768,0.985960301542292,0.0,,,,,,,
random_000175,random,phase3a-v1,1 24 13 23 1 3 3 14 19 9 19 11 10,high DECAY ABS RET10 high close close SIGN MA10 SUB MA10 DIV MUL,13,10,True,,0.006514199735123583,42997,0.991239597021463,102188835447561.48,2337.0,0.006514199735123583,0.0039215686274509665,0.535729567821994,0.1641578333251143,3.501925545571245,random_000175
random_000176,random,phase3a-v1,2 17 16 2 10,low DELAY10 DELAY5 low MUL,5,10,True,,0.0013969376696350948,43120,0.9940752011434631,10.139929481668956,2337.0,0.0013969376696350948,0.0025005827639323075,0.5310226786478391,0.035202829274804386,3.501925545571245,random_000176
random_000177,random,phase3a-v1,4 15 3 9 3 19 21 18 23 17 9 0 8,volume DELAY1 close SUB close MA10 STD10 MA5 RET10 DELAY10 SUB open ADD,13,10,True,,0.0053232056664155245,42595,0.9819720128178527,7520528.330260575,2337.0,0.0053232056664155245,0.001196950256189544,0.5169020111253744,0.1341447827936712,3.501925545571245,random_000177
random_000178,random,phase3a-v1,2 4 17 18 0 8 17 19 7 12 10 21 11,low volume DELAY10 MA5 open ADD DELAY10 MA10 CONST_1 NEG MUL STD10 DIV,13,10,True,,0.002915651078671229,42597,0.9820181202019503,0.002314146976413782,2337.0,0.002915651078671229,0.0052375389408099715,0.5579803166452717,0.07347440718251497,3.501925545571245,random_000178
random_000179,random,phase3a-v1,5 3 17 22 10,amount close DELAY10 RET5 MUL,5,10,True,,0.0050662617106424605,43118,0.9940290937593655,119415504.37404636,2337.0,0.0050662617106424605,0.0010663669907058637,0.5139067180145486,0.12766979510819002,3.501925545571245,random_000179
random_000180,random,phase3a-v1,1 22 7 11 7 13 22 16 2 12 14 22 9 8,high RET5 CONST_1 DIV CONST_1 ABS RET5 DELAY5 low NEG SIGN RET5 SUB ADD,14,10,True,,0.004892098634215174,43280,0.9977637918712682,0.05914401151390053,2337.0,0.004892098634215174,0.002235772357723542,0.5237483953786907,0.12328088558222239,3.501925545571245,random_000180
random_000181,random,phase3a-v1,2 12 17,low NEG DELAY10,3,10,True,,0.005406357078871741,43205,0.9960347649676096,1.4514669066380366,2337.0,0.005406357078871741,0.0009915453546930908,0.5156183140778776,0.1362401983875679,3.501925545571245,random_000181
random_000182,random,phase3a-v1,7 23 21 23 19 4 9,CONST_1 RET10 STD10 RET10 MA10 volume SUB,7,10,False,non_finite_result,-5.0,0,0.0,,,,,,,,
random_000183,random,phase3a-v1,7 14 22 14 2 13 15 6 8 13 10,CONST_1 SIGN RET5 SIGN low ABS DELAY1 CONST_0 ADD ABS MUL,11,10,False,constant_signal,-2.0,43350,0.9993775503146829,0.0,,,,,,,
random_000184,random,phase3a-v1,4 21 18 6 0 2 15 18 20 21 8 11 8,volume STD10 MA5 CONST_0 open low DELAY1 MA5 MA20 STD10 ADD DIV ADD,13,10,True,,0.005543878687009583,42750,0.985545335085414,2536387.066525864,2337.0,0.005543878687009583,0.0009543277699702498,0.5147625160462131,0.1397057429126415,3.501925545571245,random_000184
random_000185,random,phase3a-v1,4 12 6 13 15 17 23 19 18 3 14 20 10 10,volume NEG CONST_0 ABS DELAY1 DELAY10 RET10 MA10 MA5 close SIGN MA20 MUL MUL,14,10,False,non_finite_result,-5.0,0,0.0,,,,,,,,
