formula,horizon,validator_variant,max_holding_days,transaction_cost_bps,validator_days,validator_total_return,validator_ann_return,validator_sharpe,validator_max_drawdown,validator_trade_count,validator_sell_count,validator_avg_cash_weight,benchmark_total_return,benchmark_ann_return
train_000008_045,10,no_max_holding,,5.0,2348,2.0135378950111837,0.12568553600478238,0.49447118359100833,-0.34326112967972777,179,88,0.15272373370791428,0.874150570584729,0.06974150244931265
train_000008_045,10,rank_only_no_max_holding,,5.0,2348,3.1264573286599395,0.16430584033241336,0.5870434818443493,-0.31705595146963883,181,89,0.02137410451286538,0.874150570584729,0.06974150244931265
train_000008_045,10,max_holding_10,10.0,5.0,2348,0.40190137093583056,0.03692300001219606,0.27392255169898755,-0.31832469164360533,1271,634,0.1875550100356995,0.874150570584729,0.06974150244931265
train_000008_045,10,rank_only_max_holding_10,10.0,5.0,2348,0.4303115638449271,0.03915816433490682,0.28048890977757446,-0.4355670683850119,1435,716,0.08135061378874321,0.874150570584729,0.06974150244931265
train_000035_008,10,no_max_holding,,5.0,2348,3.559783275333973,0.17685088693367756,0.6486034121578047,-0.31359754329837464,831,414,0.018769079764725683,0.874150570584729,0.06974150244931265
train_000035_008,10,rank_only_no_max_holding,,5.0,2348,3.559783275333973,0.17685088693367756,0.6486034121578047,-0.31359754329837464,831,414,0.018769079764725683,0.874150570584729,0.06974150244931265
train_000035_008,10,max_holding_10,10.0,5.0,2348,2.6229126115778447,0.14815652683392933,0.5756384853922343,-0.35100854422685945,1673,836,0.047235772246900065,0.874150570584729,0.06974150244931265
train_000035_008,10,rank_only_max_holding_10,10.0,5.0,2348,2.6229126115778447,0.14815652683392933,0.5756384853922343,-0.35100854422685945,1673,836,0.047235772246900065,0.874150570584729,0.06974150244931265
train_000098_020,10,no_max_holding,,5.0,2348,1.7933155751274916,0.11655469050239975,0.4793639119095665,-0.3592950552743306,329,163,0.14836668556080218,0.874150570584729,0.06974150244931265
train_000098_020,10,rank_only_no_max_holding,,5.0,2348,2.336849912217814,0.13806563351501744,0.5345016764476694,-0.338878141312818,255,126,0.04306117269216867,0.874150570584729,0.06974150244931265
