formula_id,source,vocab_version,token_ids,token_names,decoded_formula,token_len,horizon,valid,invalid_reason,reward,finite_count,coverage,finite_std,scorer_days,scorer_mean_return,scorer_median_return,scorer_hit_rate,scorer_ann_return_proxy,avg_top_k,max_abs_signal,step,sample_idx
phase3c_gpu_000021_0417,phase3c_gpu_train,phase3a-v1,4 0 16 0 24 16 18 4 7 24 0 10 9 8 10 9,volume open DELAY5 open DECAY DELAY5 MA5 volume CONST_1 DECAY open MUL SUB ADD MUL SUB,(volume SUB (DELAY5(open) MUL (MA5(DELAY5(DECAY(open))) ADD (volume SUB (DECAY(CONST_1) MUL open))))),16,10,True,,0.0066227694042027,43176,0.9953662157058716,9227606.0,2337,0.0066227694042027,,0.525032103061676,0.16689378898590804,3.501925468444824,315267744.0,21,417
phase3c_gpu_000039_0736,phase3c_gpu_train,phase3a-v1,3 5 19 1 21 15 14 19 2 7 12 11 8 19 10 8,close amount MA10 high STD10 DELAY1 SIGN MA10 low CONST_1 NEG DIV ADD MA10 MUL ADD,(close ADD (MA10(amount) MUL MA10((MA10(SIGN(DELAY1(STD10(high)))) ADD (low DIV NEG(CONST_1)))))),16,10,True,,0.006622148212045431,43188,0.9956428408622742,3966221824.0,2337,0.006622148212045431,,0.5280274152755737,0.16687813494354486,3.501925468444824,100586766336.0,39,736
phase3c_gpu_000003_0027,phase3c_gpu_train,phase3a-v1,3 14 18 4 20 17 8 1 15 1 19 20 2 10 9 10,close SIGN MA5 volume MA20 DELAY10 ADD high DELAY1 high MA10 MA20 low MUL SUB MUL,((MA5(SIGN(close)) ADD DELAY10(MA20(volume))) MUL (DELAY1(high) SUB (MA20(MA10(high)) MUL low))),16,10,True,,0.006615760736167431,42826,0.9872974157333374,37073208.0,2337,0.006615760736167431,,0.5293110609054565,0.16671717055141927,3.501925468444824,882612352.0,3,27
phase3c_gpu_000018_1007,phase3c_gpu_train,phase3a-v1,3 5 8 0 23 23 0 5 10 13 7 7 9 9 9 8,close amount ADD open RET10 RET10 open amount MUL ABS CONST_1 CONST_1 SUB SUB SUB ADD,((close ADD amount) ADD (RET10(RET10(open)) SUB (ABS((open MUL amount)) SUB (CONST_1 SUB CONST_1)))),16,10,True,,0.006613590754568577,40161,0.9258593320846558,4603836416.0,2337,0.006613590754568577,,0.5275995135307312,0.16666248701512815,3.501925468444824,190626136064.0,18,1007
phase3c_gpu_000025_0111,phase3c_gpu_train,phase3a-v1,2 1 0 3 10 9 19 1 24 1 12 14 19 8 8 10,low high open close MUL SUB MA10 high DECAY high NEG SIGN MA10 ADD ADD MUL,(low MUL (MA10((high SUB (open MUL close))) ADD (DECAY(high) ADD MA10(SIGN(NEG(high)))))),16,10,True,,0.006612052209675312,43206,0.9960578083992004,55.32212829589844,2337,0.006612052209675312,,0.5216088891029358,0.16662371568381787,3.501925468444824,1097.57470703125,25,111
phase3c_gpu_000038_0873,phase3c_gpu_train,phase3a-v1,5 3 20 20 3 13 1 4 0 5 9 8 10 9 9 8,amount close MA20 MA20 close ABS high volume open amount SUB ADD MUL SUB SUB ADD,(amount ADD (MA20(MA20(close)) SUB (ABS(close) SUB (high MUL (volume ADD (open SUB amount)))))),16,10,True,,0.006611132528632879,42655,0.9833552241325378,4545508864.0,2337,0.006611132528632879,,0.525032103061676,0.16660053972154856,3.501925468444824,192731971584.0,38,873
phase3c_gpu_000038_0596,phase3c_gpu_train,phase3a-v1,1 0 18 0 10 19 4 13 10 9 4 8 3 13 16 10,high open MA5 open MUL MA10 volume ABS MUL SUB volume ADD close ABS DELAY5 MUL,(((high SUB (MA10((MA5(open) MUL open)) MUL ABS(volume))) ADD volume) MUL DELAY5(ABS(close))),16,10,True,,0.006605131085962057,43130,0.9943057298660278,307250464.0,2337,0.006605131085962057,,0.525032103061676,0.16644930336624383,3.501925468444824,15467975680.0,38,596
phase3c_gpu_000004_0309,phase3c_gpu_train,phase3a-v1,7 12 5 3 10 19 9 7 18 0 22 5 8 19 8 8,CONST_1 NEG amount close MUL MA10 SUB CONST_1 MA5 open RET5 amount ADD MA10 ADD ADD,((NEG(CONST_1) SUB MA10((amount MUL close))) ADD (MA5(CONST_1) ADD MA10((RET5(open) ADD amount)))),16,10,True,,0.0066022309474647045,43111,0.9938676953315735,4014036224.0,2337,0.0066022309474647045,,0.5233204960823059,0.16637621987611056,3.501925468444824,101826797568.0,4,309
phase3c_gpu_000038_0227,phase3c_gpu_train,phase3a-v1,1 5 24 8 23 5 13 3 19 5 13 2 8 10 9 8,high amount DECAY ADD RET10 amount ABS close MA10 amount ABS low ADD MUL SUB ADD,(RET10((high ADD DECAY(amount))) ADD (ABS(amount) SUB (MA10(close) MUL (ABS(amount) ADD low)))),16,10,True,,0.006601806730031967,43149,0.9947437644004822,4388678144.0,2337,0.006601806730031967,,0.5263158082962036,0.16636552959680556,3.501925468444824,185309822976.0,38,227
phase3c_gpu_000050_0793,phase3c_gpu_train,phase3a-v1,5 3 11 2 21 22 3 5 1 0 14 9 8 8 8 9,amount close DIV low STD10 RET5 close amount high open SIGN SUB ADD ADD ADD SUB,((amount DIV close) SUB (RET5(STD10(low)) ADD (close ADD (amount ADD (high SUB SIGN(open)))))),16,10,True,,0.006596376653760672,42745,0.9854300618171692,986579392.0,2337,0.006596376653760672,,0.5258879065513611,0.16622869167476892,3.501925468444824,31604375552.0,50,793
