formula,horizon,date,equity,cash,cash_weight,position_count,held_symbols,drawdown,benchmark_equity,available_count
reversal_5,10,2022-01-27,1.3520614147123364,0.00012067592216269407,8.925328453986611e-05,3,512660;512010;512100,-0.23230871485116966,1.519310756281089,17
reversal_5,10,2022-01-28,1.3556946134508632,0.0,0.0,3,512660;512010;510500,-0.23024580929197647,1.5026570878387466,17
reversal_5,10,2022-02-07,1.3859266256714804,0.006151014598432147,0.004438196427211279,3,515220;512010;510500,-0.21308027815431085,1.5258570286201243,17
reversal_5,10,2022-02-08,1.3864367109623483,0.0,0.0,3,515220;512760;588000,-0.21279065519175844,1.5223894397056705,17
reversal_5,10,2022-02-09,1.3948281477776887,0.032995574984096776,0.023655656101195698,3,515030;512760;588000,-0.2080260543807927,1.5387829432548181,17
reversal_5,10,2022-02-10,1.3743344172259693,0.032995574984096776,0.024008403319111242,3,515030;512760;588000,-0.21966225535032535,1.5357602568687536,17
reversal_5,10,2022-02-11,1.3557323676417758,0.032995574984096776,0.02433782343154558,3,515030;512760;588000,-0.2302243727188844,1.518031570714096,17
reversal_5,10,2022-02-14,1.35419526732734,0.02768039956427132,0.020440478734578483,3,515030;515790;588000,-0.23109712783411185,1.5046295928212834,17
reversal_5,10,2022-02-15,1.401638156149275,0.02768039956427132,0.019748605902908473,3,515030;515790;588000,-0.20415937789570882,1.5286628340893371,17
reversal_5,10,2022-02-16,1.4034363069496392,0.0,0.0,3,512880;515790;512800,-0.20313840008819062,1.5329408326615725,17
reversal_5,10,2022-02-17,1.4134576827462526,0.0,0.0,3,512880;515790;512800,-0.19744833099772818,1.542401539381819,17
reversal_5,10,2022-02-18,1.4280671775180798,0.005767349572141867,0.0040385702177997505,3,512880;510880;512800,-0.18915315912556485,1.5528024027830092,17
reversal_5,10,2022-02-21,1.4241415302666485,0.4844437799075451,0.340165474857573,2,512880;512800,-0.1913821149634426,1.554103836723282,17
reversal_5,10,2022-02-22,1.4158319732705387,1.4158319732705387,1.0,0,,-0.19610022496935398,1.5446576752254506,17
reversal_5,10,2022-02-23,1.4566939436407904,1.1102230246251565e-16,7.621525643542656e-17,3,512880;159915;512660,-0.17289907581598796,1.571297896408102,17
reversal_5,10,2022-02-24,1.4185059159668918,0.00901385563554491,0.006354471655058853,3,512880;159928;510050,-0.19458197847356562,1.549045699718104,17
reversal_5,10,2022-02-25,1.4218575385921581,0.00901385563554491,0.006339492804933125,3,512880;159928;510050,-0.19267894991840784,1.5576075307200583,17
reversal_5,10,2022-02-28,1.4218575385921581,0.00901385563554491,0.006339492804933125,3,512880;159928;510050,-0.19267894991840784,1.5723640638277412,17
reversal_5,10,2022-03-01,1.4514027682315394,0.012353352250831395,0.00851131920182523,3,512880;159928;510880,-0.17590336926425565,1.5816399706380784,17
reversal_5,10,2022-03-02,1.4528348958214221,0.016748605881289902,0.011528223839791765,3,512880;512800;510880,-0.17509021694882765,1.5752334867352533,17
reversal_5,10,2022-03-03,1.4481857096351534,0.020576714810439045,0.014208616114312447,3,512880;512800;512760,-0.17772999327806505,1.5659086924797645,17
reversal_5,10,2022-03-04,1.4346187583296173,0.0104990815977557,0.007318377469133466,3,515030;512660;512760,-0.185433216053278,1.5496833752836012,17
reversal_5,10,2022-03-07,1.3781780948972089,0.011916165011774227,0.008646317232797835,3,515030;159915;512760,-0.21747984128316578,1.511787075612352,17
reversal_5,10,2022-03-08,1.372751513313317,0.9187275207943675,0.6692598856270042,1,159915,-0.22056101743742296,1.4674280649890332,17
reversal_5,10,2022-03-09,1.3649006629924916,0.002353938233513486,0.0017246223826667124,3,515030;159915;159928,-0.22501867690963562,1.4559204968151134,17
reversal_5,10,2022-03-10,1.416049507232966,0.0,0.0,3,515030;512660;512400,-0.1959767106634489,1.4810090382789571,17
reversal_5,10,2022-03-11,1.4256320185433504,0.0009398542415434141,0.0006592544424638532,3,515030;512880;512400,-0.1905358258465507,1.4912682104867252,17
reversal_5,10,2022-03-14,1.3787039120445033,0.0002450018290307554,0.0001777044562580794,3,510500;512880;512400,-0.2171812858794191,1.4475225327016195,17
reversal_5,10,2022-03-15,1.3133973424249994,0.0002450018290307554,0.00018654052442225498,3,510500;512880;512400,-0.2542619124059332,1.3826753525961792,17
reversal_5,10,2022-03-16,1.3532745781275204,0.4443885120299034,0.3283801522709372,2,515220;510880,-0.23161988890645746,1.436156507872366,17
reversal_5,10,2022-03-17,1.3830720915915136,0.0,0.0,3,515220;510880;159928,-0.2147010632107479,1.462228688551368,17
reversal_5,10,2022-03-18,1.4253626623318072,0.0,0.0,3,515220;510880;159928,-0.1906887644734151,1.475685164648297,17
reversal_5,10,2022-03-21,1.4442286382324303,0.004480159917193416,0.0031021126424113955,3,515220;515790;159928,-0.17997679153554547,1.4838318562465416,17
reversal_5,10,2022-03-22,1.4340728817725683,1.4340728817725683,1.0,0,,-0.18574316105359634,1.4809277986237812,17
reversal_5,10,2022-03-23,1.4340728817725683,1.4340728817725683,1.0,0,,-0.18574316105359634,1.488146775797411,17
reversal_5,10,2022-03-24,1.4308429878947022,0.47802429392418944,0.33408577878103835,2,515790;512880,-0.18757707285302516,1.4800280595192088,17
reversal_5,10,2022-03-25,1.3982149399293275,0.0010766312926220323,0.0007700041401906708,3,515790;512880;512760,-0.20610305680750807,1.458732340629455,17
reversal_5,10,2022-03-28,1.394399358628275,0.0010766312926220323,0.0007721111501952758,3,515790;512880;512760,-0.20826951794656667,1.4490364085981269,17
reversal_5,10,2022-03-29,1.3772962811727614,0.008192673041878151,0.005948373747805468,3,515790;515030;512760,-0.21798052912472143,1.44860097497258,17
reversal_5,10,2022-03-30,1.4182958347301768,0.4622468478671303,0.3259170876399494,2,515790;515030,-0.19470126117244635,1.4814070516110278,17
reversal_5,10,2022-03-31,1.3774370377120784,0.004966302088385555,0.0036054657689723354,3,515790;588000;512760,-0.21790060851802007,1.4672292371981552,17
reversal_5,10,2022-04-01,1.3817099793897785,0.0,0.0,3,512400;588000;512760,-0.21547446126448166,1.4751778399884234,17
reversal_5,10,2022-04-06,1.3499974405649466,0.0,0.0,3,512400;588000;512760,-0.2334806253490821,1.4612262941340701,17
reversal_5,10,2022-04-07,1.3389896380036763,0.8948858428553248,0.6683291770573566,1,515790,-0.239730780854573,1.4390352889967892,17
reversal_5,10,2022-04-08,1.3348466479904573,0.0,0.0,3,515790;512760;588000,-0.24208314243593176,1.4410950826474451,17
reversal_5,10,2022-04-11,1.2707147001214496,0.0,0.0,3,515790;512760;588000,-0.27849682671308507,1.3887971549201443,17
reversal_5,10,2022-04-12,1.2854771239934126,0.4226412462389402,0.3287816160632867,2,515030;588000,-0.2701148227368898,1.411753120702892,17
reversal_5,10,2022-04-13,1.2601443061152966,0.0,0.0,3,515030;512760;588000,-0.2844986246128052,1.3996091805318127,17
reversal_5,10,2022-04-14,1.2722197702935518,0.41844199133512866,0.32890700263098205,2,515030;512760,-0.2776422580950566,1.4162751932396755,17
reversal_5,10,2022-04-15,1.26027514664107,0.0,0.0,3,515030;515790;512660,-0.2844243342512228,1.4093634668342818,17
reversal_5,10,2022-04-18,1.2945511538204717,0.0,0.0,3,515030;515790;512660,-0.264962650251518,1.4099618185928067,17
reversal_5,10,2022-04-19,1.3034301054927657,0.006832442473236999,0.005241894018286446,3,515030;512800;510880,-0.259921241817029,1.406975350283561,17
reversal_5,10,2022-04-20,1.2787082977666002,0.011567883365127207,0.009046538123926891,3,515030;512800;512880,-0.27395811627996924,1.3742765311025857,17
reversal_5,10,2022-04-21,1.2417629682468543,0.01382186642957317,0.011130841217698058,3,515030;512400;512880,-0.29493542336871204,1.3386563303216639,17
reversal_5,10,2022-04-22,1.2460667942057229,0.010887176502841767,0.008737233472128235,3,515220;512400;510880,-0.292491740230159,1.33344958268251,17
reversal_5,10,2022-04-25,1.196086821622065,0.40903083787800987,0.3419742032800808,2,515220;512010,-0.3208700290911092,1.2527908689690255,17
reversal_5,10,2022-04-26,1.1679245029894434,0.0,0.0,3,512400;512760;515790,-0.33686040227134517,1.2288682100259156,17
reversal_5,10,2022-04-27,1.2531765745714933,0.0,0.0,3,512400;512100;515790,-0.288454855243477,1.2836020800059509,17
reversal_5,10,2022-04-28,1.2405926826988813,0.005115734252618409,0.004123621172332925,3,512400;512100;512660,-0.29559990355174104,1.2875092075373973,17
reversal_5,10,2022-04-29,1.299225089566856,0.005902730580695459,0.004543270160110092,3,512880;512100;512660,-0.2623088212901995,1.3299940752233261,17
reversal_5,10,2022-05-05,1.3025932919145653,0.018214985275290196,0.013983632027244374,3,512880;512100;510880,-0.260396378881284,1.3306682418436968,17
reversal_5,10,2022-05-06,1.2712069205757697,0.862683446467404,0.6786333778584744,1,512880,-0.2782173472833479,1.300528617898586,17
reversal_5,10,2022-05-09,1.2722181530839731,0.4389478062754808,0.34502558009523066,2,512880;512800,-0.2776431763356678,1.300754689405821,17
reversal_5,10,2022-05-10,1.2896175368748255,0.017780260872599485,0.013787235644830793,3,512880;512800;159928,-0.2677639244334611,1.3175075895049986,17
reversal_5,10,2022-05-11,1.3084426635456912,0.007442019467410188,0.005687692456651778,3,515220;512800;159928,-0.2570751454107115,1.3407720354654231,17
