formula,horizon,validator_variant,max_holding_days,transaction_cost_bps,date,equity,cash,cash_weight,position_count,held_symbols,drawdown,benchmark_equity,available_count
reversal_5,10,max_holding_10,10,5.0,2020-08-21,1.177605765379487,0.013611845192698036,0.011558915209889092,3,512760;159915;512010,-0.0054870061358582856,1.4782644764321726,15
reversal_5,10,max_holding_10,10,5.0,2020-08-24,1.1932220689771464,0.00014318844647931428,0.00012000150701374325,3,512760;159915;515030,0.0,1.4897478587004578,15
reversal_5,10,max_holding_10,10,5.0,2020-08-25,1.172885020382964,0.006794930182578929,0.005793347228836025,3,512760;512660;515030,-0.01704380862785737,1.4831738318085839,15
reversal_5,10,max_holding_10,10,5.0,2020-08-26,1.1333862879163878,0.012593342125652052,0.011111253294588197,3,512760;512660;512400,-0.05014639153636424,1.455409205020261,15
reversal_5,10,max_holding_10,10,5.0,2020-08-27,1.141176364150128,0.7550478902019944,0.6616399654967474,1,512400,-0.04361778597644694,1.4723341800364,15
reversal_5,10,max_holding_10,10,5.0,2020-08-28,1.161470312415826,-5.551115123125783e-17,-4.7793861485616597e-17,3,512660;510880;512400,-0.026610098310148267,1.502531184266483,15
reversal_5,10,max_holding_10,10,5.0,2020-08-31,1.167761190187703,-5.551115123125783e-17,-4.7536389886647203e-17,3,512660;510880;512400,-0.021337921457712405,1.4964268458239234,15
reversal_5,10,max_holding_10,10,5.0,2020-09-01,1.1758404199571997,0.004944183216451847,0.004204808010114003,3,512660;510880;512760,-0.014566985871160343,1.5083436156437922,15
reversal_5,10,max_holding_10,10,5.0,2020-09-02,1.1706999534749267,0.40402350312573265,0.34511276943890795,2,510880;512760,-0.018875041023609374,1.503530987937078,15
reversal_5,10,max_holding_10,10,5.0,2020-09-03,1.1703166152497522,1.1703166152497522,1.0,0,,-0.019196304127218622,1.4945424897266555,15
reversal_5,10,max_holding_10,10,5.0,2020-09-04,1.1784571509082487,0.7800160240639598,0.6618959573224988,1,512760,-0.012373990100228882,1.4836119053765473,15
reversal_5,10,max_holding_10,10,5.0,2020-09-07,1.1493601161912146,0.0,0.0,3,510050;512010;159928,-0.036759253726786345,1.4503742674414515,15
reversal_5,10,max_holding_10,10,5.0,2020-09-08,1.1535415237816373,0.003215802160889847,0.00278776454474524,3,512880;512010;159928,-0.0332549541507593,1.4592428576492429,15
reversal_5,10,max_holding_10,10,5.0,2020-09-09,1.1217630105111014,0.007434142502774188,0.006627195257032962,3,512660;515030;159928,-0.05988747637503988,1.4257868447001187,15
reversal_5,10,max_holding_10,10,5.0,2020-09-10,1.0987860247462937,0.0008224515493432949,0.0007485092919098569,3,512660;515030;159915,-0.07914372913987855,1.3603435662700318,15
reversal_5,10,max_holding_10,10,5.0,2020-09-11,1.1236245443003374,0.00047266899546355434,0.00042066453412859325,3,512760;515030;159915,-0.05832738639880286,1.371083323201,15
reversal_5,10,max_holding_10,10,5.0,2020-09-14,1.1460001819808654,0.00047266899546355434,0.00041245106492613666,3,512760;515030;159915,-0.03957510359891403,1.3822286592054762,15
reversal_5,10,max_holding_10,10,5.0,2020-09-15,1.1559643896073792,0.004950083430648955,0.0042822110050727774,3,512760;512660;159915,-0.03122443033735134,1.3930904139441362,15
reversal_5,10,max_holding_10,10,5.0,2020-09-16,1.1490374557254857,0.0029117575249253402,0.002534084080911791,3,512760;512660;512100,-0.037029664804588025,1.3839568594920961,15
reversal_5,10,max_holding_10,10,5.0,2020-09-17,1.1603069103364643,0.0029117575249253402,0.002509471846617713,3,512760;512660;512100,-0.02758510716190299,1.381855787908477,15
reversal_5,10,max_holding_10,10,5.0,2020-09-18,1.1930851504851296,0.0,0.0,3,512010;159928;515220,-0.00011474686529566736,1.4161139217452123,15
reversal_5,10,max_holding_10,10,5.0,2020-09-21,1.194941547947355,0.4137728293405939,0.3462703510906989,2,512010;159928,0.0,1.4090907767271588,15
reversal_5,10,max_holding_10,10,5.0,2020-09-22,1.1922675922736288,0.4137728293405939,0.3470469482035807,2,512010;159928,-0.002237729266606814,1.3894469153059856,15
reversal_5,10,max_holding_10,10,5.0,2020-09-23,1.2007579842886893,0.01654593858816783,0.013779578236966204,3,512010;159928;512400,0.0,1.395408132153044,15
reversal_5,10,max_holding_10,10,5.0,2020-09-24,1.1712092375642746,0.01983725530440722,0.016937413630430467,3,510050;159928;512400,-0.024608411612535575,1.3616025146293886,15
reversal_5,10,max_holding_10,10,5.0,2020-09-25,1.177474440798549,0.39229519090679815,0.33316662962191207,2,515030;515220,-0.01939070470052562,1.3645929876356944,15
reversal_5,10,max_holding_10,10,5.0,2020-09-28,1.1911333408661369,0.0,0.0,3,515030;515220;512400,-0.008015473183177635,1.3629735976417137,15
reversal_5,10,max_holding_10,10,5.0,2020-09-29,1.2102369185535449,0.004481406933109389,0.003702917060624371,3,512100;512660;512400,0.0,1.3730122756926784,15
reversal_5,10,max_holding_10,10,5.0,2020-09-30,1.209829265214632,0.012693140061291686,0.010491678806463518,3,512100;510880;512400,-0.00033683763291569857,1.3694384443243002,15
reversal_5,10,max_holding_10,10,5.0,2020-10-09,1.239951944593341,0.01050013875425021,0.0084681820130488,3,512100;512760;512400,0.0,1.4053209663098067,15
reversal_5,10,max_holding_10,10,5.0,2020-10-12,1.2481648014055007,1.2481648014055007,1.0,0,,0.0,1.4534952572989377,15
reversal_5,10,max_holding_10,10,5.0,2020-10-13,1.2481648014055007,1.2481648014055007,1.0,0,,0.0,1.4561414629104734,15
reversal_5,10,max_holding_10,10,5.0,2020-10-14,1.2481648014055007,1.2481648014055007,1.0,0,,0.0,1.4424083576859172,15
reversal_5,10,max_holding_10,10,5.0,2020-10-15,1.2481648014055007,1.2481648014055007,1.0,0,,0.0,1.44190350916531,15
